
running 649 tests
test attribute::test::should_parse_attribute_ident ... ok
test attribute::test::should_parse_attribute_no_args ... ok
test argument::test::should_parse_variadic_argument ... ok
test argument::test::should_parse_optional_single_argument ... ok
test argument::test::should_parse_single_argument ... ok
test argument::test::should_parse_optional_single_argument_with_default ... ok
test attribute::test::should_parse_attribute_arg_list ... ok
test argument::test::should_not_parse_default_if_not_optional ... ok
test attribute::test::should_parse_float ... ok
test attribute::test::should_parse_extattr_list ... ok
test attribute::test::should_parse_ident_list ... ok
test attribute::test::should_parse_string ... ok
test attribute::test::should_parse_named_arg_list ... ok
test common::test::should_not_parse_comma_separated_values_empty ... ok
test common::test::should_parse_boxed ... ok
test common::test::should_parse_braced ... ok
test common::test::should_parse_bracketed ... ok
test common::test::should_parse_comma_separated_values ... ok
test common::test::should_parse_generics ... ok
test common::test::should_parse_hyphened_identifier ... ok
test common::test::should_parse_generics_two ... ok
test common::test::should_parse_identifier ... ok
test common::test::should_parse_identifier_attached_to_symbol ... ok
test common::test::should_parse_numbered_identifier ... ok
test common::test::should_parse_identifier_surrounding_with_spaces ... ok
test common::test::should_parse_identifier_preceding_others ... ok
test common::test::should_parse_optional_not_present ... ok
test common::test::should_parse_optional_present ... ok
test common::test::should_parse_underscored_identifier ... ok
test common::test::should_parse_parenthesized ... ok
test common::test::should_parse_vec ... ok
test dictionary::test::should_parse_dictionary_member ... ok
test dictionary::test::should_parse_required_dictionary_member ... ok
test interface::test::should_parse_constructor_interface_member ... ok
test interface::test::should_parse_double_typed_async_iterable ... ok
test interface::test::should_parse_double_typed_iterable ... ok
test interface::test::should_parse_double_typed_async_iterable_with_args ... ok
test interface::test::should_parse_maplike_interface_member ... ok
test interface::test::should_parse_setlike_interface_member ... ok
test interface::test::should_parse_single_typed_async_iterable ... ok
test interface::test::should_parse_stringifier_member ... ok
test interface::test::should_parse_single_typed_iterable ... ok
test interface::test::should_parse_single_typed_async_iterable_with_args ... ok
test lexer::tests::should_lex_tests_defs_argument_constructor_webidl ... ok
test lexer::tests::should_lex_tests_defs_attributes_webidl ... ok
test lexer::tests::should_lex_tests_defs_allowany_webidl ... ok
test lexer::tests::should_lex_tests_defs_async_name_webidl ... ok
test lexer::tests::should_lex_tests_defs_argument_extattrs_webidl ... ok
test lexer::tests::should_lex_tests_defs_comment_webidl ... ok
test lexer::tests::should_lex_tests_defs_callback_webidl ... ok
test lexer::tests::should_lex_tests_defs_default_webidl ... ok
test lexer::tests::should_lex_tests_defs_bigint_webidl ... ok
test lexer::tests::should_lex_tests_defs_async_iterable_webidl ... ok
test lexer::tests::should_lex_tests_defs_constructor_webidl ... ok
test lexer::tests::should_lex_tests_defs_buffersource_webidl ... ok
test lexer::tests::should_lex_tests_defs_documentation_dos_webidl ... ok
test lexer::tests::should_lex_tests_defs_documentation_webidl ... ok
